BusStopCode,Description,RoadName,Distance 
12091,SIM Campus,Clementi Rd,0.432311938325863
12101,Ngee Ann Poly,Clementi Rd,0.322739842914223
12109,Opp Ngee Ann Poly,Clementi Rd,0.392912463802369
